51,153,25
255,127,0
255,0,255
127,127,255
0,255,255
255,0,0
51,76,25
204,153,153
127,255,127
127,255,255
0,0,0
51,51,51
102,102,102
153,153,153
204,204,204
152,109,92
131,46,208
80,199,65
64,64,209
155,187,55
214,73,222
87,161,67
144,95,232
205,170,60
76,40,154
225,135,47
76,107,224
222,72,42
67,187,206
225,55,90
86,193,144
159,52,171
56,97,33
221,59,164
66,131,86
220,120,217
140,133,45
42,29,107
156,181,114
115,45,131
210,168,123
82,80,164
160,96,42
88,136,220
152,49,35
120,174,221
193,57,107
135,180,172
144,40,106
67,119,111
161,115,217
102,85,31
164,149,218
38,61,38
229,125,177
16,35,39
228,138,103
41,33,74
215,105,106
30,52,70
205,155,161
76,27,85
147,146,112
163,94,162
64,46,28
185,151,189
55,23,28
92,132,160
106,41,36
67,88,144
98,92,68
92,26,59
225,0,255
76,51,255
222,102,0
67,153,25
225,204,153
86,109,127
159,46,255
56,199,0
221,64,51
66,187,102
220,73,153
140,161,204
42,95,92
156,170,208
115,40,65
98,135,209
